state\event,RDY,OK,"ERROR
retry > 0","ERROR
retry = 0","+CME ERROR","+CME ERROR 14","+CPIN: READY","+CSQ:xx,xx ","+CSQ:99,xx
retry > 0","+CSQ:99,xx
retry = 0","+CREG: x,1","+CREG: x,0
retry > 0","+CREG: x,0
retry = 0","+CGREG: x,1","+CGREG: x,0
retry > 0","+CGREG: x,0
retry = 0","+QIOPEN: x,0","+QIOPEN: x,x
retry > 0","+QIOPEN: x,x
retry = 0","+QIURC: ""pdpdeact"",contextid","+QIURC: ""recv"",connectid,length
data","SEND FAIL","OP0 TIMEOUT
retry > 0","OP1 TIMEOUT
retry > 0","TIMEOUT
retry = 0","IDLE TIMEOUT"
INITIAL,AT\AT,,,,,,,,,,,,,,,,,,,,,,,,,
AT,,"ATE\AT OKAY",,,,,,,,,,,,,,,,,,,,,,,,
"AT OKAY",,"AT+CPIN?\ATE OKAY",,,,,,,,,,,,,,,,,,,,,,,,
"ATE OKAY",,,,,"POWER OFF\POWER OFF",AT+CPIN?\,"AT+CSQ\CPIN READY",,,,,,,,,,,,,,,,AT+CPIN?\,,"POWER OFF\POWER OFF",
"CPIN READY",,,,,,,,"AT+CREG?\CSQ OKAY","\CSQ IDLE",,,,,,,,,,,,,,AT+CSQ\,,"POWER OFF\POWER OFF",
"CSQ OKAY",,,,,"POWER OFF\POWER OFF",,,,,,"AT+CGREG?\CREG OKAY","\CREG IDLE",,,,,,,,,,,,,,
"CSQ ERROR",,,,,,,,"AT+CREG?\CSQ OKAY","\CSQ IDLE","POWER OFF\POWER OFF",,,,,,,,,,,,,AT+CSQ\,,"POWER OFF\POWER OFF",
"CSQ IDLE",,,,,,,,,,,,,,,,,,,,,,,"AT+CSQ\CSQ ERROR",,"AT+CSQ\CSQ ERROR",
"CREG OKAY",,,"\CGREG IDLE",,,,,,,,,,,"AT+QICSGP\CGREG OKAY","\CGREG IDLE",,,,,,,,AT+CGREG?\,,"POWER OFF\POWER OFF",
"CREG ERROR",,,,,,,,,,,"AT+CGREG?\CREG OKAY","\CREG IDLE","POWER OFF\POWER OFF",,,,,,,,,,AT+CREG?\,,"POWER OFF\POWER OFF",
"CREG IDLE",,,,,,,,,,,,,,,,,,,,,,,"AT+CREG?\CREG ERROR",,"AT+CREG?\CREG ERROR",
"CGREG OKAY",,"AT+QIACT\QICSGP OKAY","AT+QICSGP\QICSGP ERROR",,,,,,,,,,,,,,,,,,,,AT+QICSGP\,,"POWER OFF\POWER OFF",
"CGREG ERROR",,,,,,,,,,,,,,"AT+QICSGP\CGREG OKAY","\CGREG IDLE","POWER OFF\POWER OFF",,,,,,,AT+QICSGP\,,"POWER OFF\POWER OFF",
"CGREG IDLE",,,,,,,,,,,,,,,,,,,,,,,"AT+CGREG?\CGREG ERROR",,"AT+CGREG?\CGREG ERROR",
"QICSGP OKAY",,"AT+QIOPEN\QIACT OKAY","AT+QIACT\QIACT ERROR",,,,,,,,,,,,,,,,,,,,AT+QIACT\,AT+QIOPEN\,"POWER OFF\POWER OFF",
"QICSGP ERROR",,"AT+QIACT\QICSGP OKAY","AT+QICSGP\QICSGP OKAY","POWER OFF\POWER OFF",,,,,,,,,,,,,,,,,,,AT+QICSGP\,,"POWER OFF\POWER OFF",
"QIACT OKAY",,,,,,,,,,,,,,,,,"connected\QIOPEN OKAY","AT+QIOPEN\QIOPEN ERROR",AT+QICLOSE\QICLOSE,,,,AT+QIOPEN\,,"POWER OFF\POWER OFF",
"QIACT ERROR",,"AT+QIOPEN\QIACT OKAY","AT+QIACT\QIACT ERROR","POWER OFF\POWER OFF",,,,,,,,,,,,,"connected\QIOPEN OKAY",,,,,,AT+QIACT\,,"POWER OFF\POWER OFF",
"QIOPEN OKAY",,,,,,,,,,,,,,,,,,,,"AT+QIACT\QIDEACT OKAY","network read callback\",,,,,AT+QICLOSE\QICLOSE
"QIOPEN ERROR",,,,,,,,,,,,,,,,,"connected\QIOPEN OKAY","AT+QIOPEN\QIOPEN ERROR",AT+QICLOSE\QICLOSE,,,,AT+QIOPEN\,,"POWER OFF\POWER OFF",
QICLOSE,,"AT+QIOPEN\QICLOSE OKAY","AT+QICLOSE\QICLOSE ERROR",,,,,,,,,,,,,,,,,,,,AT+QICLOSE\,,"POWER OFF\POWER OFF",
"QICLOSE OKAY",,"connected\QIOPEN OKAY",,,,,,,,,,,,,,,"connected\QIOPEN OKAY","AT+QIOPEN\QIOPEN ERROR",,,,,AT+QIOPEN\,,"POWER OFF\POWER OFF",
"QICLOSE ERROR",,"AT+QIOPEN\QICLOSE OKAY","AT+QICLOSE\QICLOSE ERROR",AT+QIDEACT\QIDEACT,,,,,,,,,,,,,,,,,,,AT+QICLOSE\,,"POWER OFF\POWER OFF",
QIDEACT,,"AT+QIACT\QIDEACT OKAY","AT+QIDEACT\QIDEACT ERROR",,,,,,,,,,,,,,,,,,,,AT+QIDEACT\,,"POWER OFF\POWER OFF",
"QIDEACT OKAY",,"AT+QIOPEN\QIACT OKAY","AT+QIACT\QIACT ERROR",,,,,,,,,,,,,,,,,,,,AT+QIACT\,,"POWER OFF\POWER OFF",
"QIDEACT ERROR",,"AT+QIACT\QIDEACT OKAY","AT+QIDEACT\QIDEACT ERROR","POWER OFF\POWER OFF",,,,,,,,,,,,,,,,,,,AT+QIDEACT\,,"POWER OFF\POWER OFF",
"POWER OFF",,,,,,,,,,,,,,,,,,,,,,,"POWER ON\RESETING",,"POWER ON\RESETING",
RESETING,,,,,,,,,,,,,,,,,,,,,,,INITIAL\INITIAL,,INITIAL\INITIAL,
