state\event,ready,OK,ERROR,"ERROR and retry == 0","WIFI GOT IP","WIFI DISCONNECT","0,CONNECT","DNS Fail","ALREADY CONNECT",CLOSED,"IDLE TIMEOUT",TIMEOUT,"TIMEOUT and retry == 0","rst retry == 0","reset retry == 0",SEND,>,"SEND OK","SEND FAIL","+IPD:len,data","POWER OFF"
INITIAL,AT\AT,,,,AT\AT,,,,,,,AT\AT,,RESET\RESETING,DISABLE\DISABLED,,,,,,"POWER OFF\POWER OFF"
AT,,"ATE0\AT OKAY","AT\AT ERROR",,,AT+RST\INITIAL,,,,,,AT\AT,RESET\RESETING,,,,,,,,"POWER OFF\POWER OFF"
"AT OKAY",,"AT+CIPSTART\ATE OKAY","ATE0\ATE ERROR",,"AT+CIPSTART\ATE OKAY",AT+RST\INITIAL,,,,,,RESET\RESETING,,,,,,,,,"POWER OFF\POWER OFF"
"AT ERROR",,"AT+CIPSTART\ATE OKAY","AT\AT ERROR",RESET\RESETING,"AT+CIPSTART\ATE OKAY",AT+RST\INITIAL,,,,,,,,,,,,,,,"POWER OFF\POWER OFF"
"ATE OKAY",,,"AT+CIPSTART\CIPSTART ERROR",,"AT+CIPSTART\ATE OKAY",AT+RST\INITIAL,"ADJUST SYSTICK\CIPSTART OKAY","AT+CIPCLOSE\CIPCLOSE ERROR","\CIPSTART OKAY",,,"AT+CIPSTART\ATE OKAY",AT+RST\INITIAL,,,,,,,,"POWER OFF\POWER OFF"
"ATE ERROR",,"AT+CIPSTART\ATE OKAY","ATE0\ATE ERROR",RESET\RESETING,,AT+RST\INITIAL,,,,,,,,,,,,,,,"POWER OFF\POWER OFF"
"CIPSTART OKAY",,,,,,AT+RST\INITIAL,,,,,AT+RST\INITIAL,,,,,"AT+CIPSEND\WAIT >",,,,"network read callback\","POWER OFF\POWER OFF"
"CIPSTART ERROR",,,"AT+CIPSTART\CIPSTART ERROR",AT+RST\INITIAL,,AT+RST\INITIAL,"\CIPSTART OKAY",,,,,AT+CIPSTART\,AT+RST\INITIAL,,,,,,,,"POWER OFF\POWER OFF"
CIPCLOSE,,"AT+CIPCLOSE\CIPCLOSE ERROR","AT+CIPCLOSE\CIPCLOSE ERROR",,,AT+RST\INITIAL,,,"AT+CIPCLOSE\CIPCLOSE ERROR","AT+CIPSTART\CIPCLOSE OKAY",,AT+CIPCLOSE\,AT+RST\INITIAL,,,,,,,,"POWER OFF\POWER OFF"
"CIPCLOSE OKAY",,,"AT+CIPSTART\CIPSTART ERROR",,,AT+RST\INITIAL,"\CIPSTART OKAY",,"\CIPSTART OKAY",,,AT+CIPSTART\,AT+RST\INITIAL,,,,,,,,"POWER OFF\POWER OFF"
"CIPCLOSE ERROR",,"AT+CIPSTART\CIPCLOSE OKAY","AT+CIPCLOSE\CIPCLOSE ERROR",AT+RST\INITIAL,,AT+RST\INITIAL,"\CIPSTART OKAY",,,,,,AT+RST\INITIAL,,,,,,,,"POWER OFF\POWER OFF"
DISABLED,,,,,,,,,,,,ENABLE\ENABLED,,,,,,,,,"POWER OFF\POWER OFF"
ENABLED,,,,,,,,,,,,RESET\RESETING,,,,,,,,,"POWER OFF\POWER OFF"
RESETING,,,,,,AT+RST\INITIAL,,,,,AT+RST\INITIAL,"STOP RESET\INITIAL",,,DISABLE\DISABLED,,,,,,"POWER OFF\POWER OFF"
"WAIT >",,,,,,AT+RST\INITIAL,,,,,AT+RST\INITIAL,,AT+CIPCLOSE\CIPCLOSE,,,,WRITE\SENDING,,,,"POWER OFF\POWER OFF"
SENDING,,,,,,AT+RST\INITIAL,,,,,,AT+RST\INITIAL,,,,,,"\CIPSTART OKAY",AT+CIPCLOSE\CIPCLOSE,,"POWER OFF\POWER OFF"
"POWER OFF",,,,,,,,,,,,"POWER ON\INITIAL",,,,,,,,,"POWER OFF\POWER OFF"
